;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Тёмный кристалл;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор Аммонит в гостях, чтобы найти. Место поиска: Обзорная.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 7;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_7/StoneGnome_2026_Story_7.proto.js;/quest/generated/StoneGnome_2026/story_7/StoneGnome_2026_Story_7.proto.js;Стеклянная лестница;Дружок, кошмар невыносимый! Я построил лестницу в мастерскую из идеального стекла — прозрачного, чистого, без единого пузырька! А она оказалась слишком прозрачной... Борька уже трижды ударился лбом, потому что не видит ступеней. Мирослав трясётся, путает слова, не знает что делать. Поможешь найти песок для матирования или что-то, чтобы ступени хоть чуть-чуть заметны стали?;Фух, наконец-то ступени видны! Борька снова ходит с целым лбом. Спасибо, дружок, теперь моя лестница и красивая, и безопасная. А то я уж думал, придётся её разбивать...;StoneGnome_2026_Character_2;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Передача предмета;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_7/StoneGnome_2026_Story_7.proto.js;/quest/generated/StoneGnome_2026/story_7/StoneGnome_2026_Story_7.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;StoneGnome_2026_Give_19_Give;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_Give_19;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""StoneGnome_2026_Give_19""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Передай Матовая паста;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Передай Матовая паста персонажу Мирослав Щербатый. Он находится на Стеклодувня.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Получить PER;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_7/StoneGnome_2026_Story_7.proto.js;/quest/generated/StoneGnome_2026/story_7/StoneGnome_2026_Story_7.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_PER_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_PER_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Попроси у друзей Песок рубиновых отвалов;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Отправь личные просьбы друзьям или купи.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Уборка конкретного мусора дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_7/StoneGnome_2026_Story_7.proto.js;/quest/generated/StoneGnome_2026/story_7/StoneGnome_2026_Story_7.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;GlassblowingTube;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Трубка для выдувания стекла дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Трубка для выдувания стекла дома. Для этого просто кликни на нужный мусор дома. Место поиска: Стеклодувня, Ледяной сад.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 8;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_8/StoneGnome_2026_Story_8.proto.js;/quest/generated/StoneGnome_2026/story_8/StoneGnome_2026_Story_8.proto.js;Шкатулка для шедевра;Домовёнок, великий день настал! Я решил создать свой главный шедевр — шкатулку из пяти драгоценных камней! Рубин, сапфир, янтарь, аметист, изумруд — всё должно быть гранёным и безупречным! Но детали разбросаны по мастерской, я сам не справлюсь. Поможешь собрать? Это будет такая шкатулка, что все гномы ахнут!;Вот она, моя гордость! Шкатулка готова, камни сияют, замок щёлкает как часики. Спасибо, дружок, теперь в моей мастерской есть настоящее чудо! Я даже пояс новый куплю, чтобы соответствовать.;StoneGnome_2026_Character_3;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;HOG на локации;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_8/StoneGnome_2026_Story_8.proto.js;/quest/generated/StoneGnome_2026/story_8/StoneGnome_2026_Story_8.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;clean_debris;;;;;;;;;;;;;;;;;;;;;;;
;;;param;StoneGnome_2026_HOG_2;;;;;;;;;;;;;;;;;;;;;;;
;;;search_action;search_StoneGnome_2026_HOG_2;;;;;;;;;;;;;;;;;;;;;;;
;;;after_buy_actions;"[{""do"":""remove_stuff"",""classname"":""StoneGnome_2026_HOG_2""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Детали шкатулки Гордона;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Найди Детали шкатулки Гордона. Место поиска: Мир. Если найти все не удаётся, можно купить подсказку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;GR с цветов в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_8/StoneGnome_2026_Story_8.proto.js;/quest/generated/StoneGnome_2026/story_8/StoneGnome_2026_Story_8.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_6;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_6;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;80;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Получи Цветик-радуга;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай цветы Цветик-семицветик в гостях, чтобы найти. Чтобы собрать растение, кликни на горшок с нужным растением в гостях у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Получить FA (экшен на площади у друга);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_8/StoneGnome_2026_Story_8.proto.js;/quest/generated/StoneGnome_2026/story_8/StoneGnome_2026_Story_8.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_FA_1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_FA_1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Получи Праздничный гномий танец;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Праздничный гномий танец можно получить за действие на площади у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 9;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_9/StoneGnome_2026_Story_9.proto.js;/quest/generated/StoneGnome_2026/story_9/StoneGnome_2026_Story_9.proto.js;Кристаллы раскатались;Эх, домовёнок... Опять борода. Нёс я мешок с драгоценными кристаллами — споткнулся, как всегда, о свою собственную бороду — и всё рассыпалось по шахте. Теперь камни в щелях, в щебёнке, в воде. Нужно собрать, пока никто не ступил и не раздавил. Поможешь?;Собрали все, ничего не потеряли. Даже тот маленький, что в щель укатился — нашёлся. Спасибо, дружок, без тебя бы я до сих пор на коленях лазил.;StoneGnome_2026_Character_4;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Крафт;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_9/StoneGnome_2026_Story_9.proto.js;/quest/generated/StoneGnome_2026/story_9/StoneGnome_2026_Story_9.proto.js;type;get_and_decrease_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_R_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_R_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Создай Сумочка для кристаллов;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""StoneGnome_2026_Workbench_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Для создания используй Станок.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Получить PER;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_9/StoneGnome_2026_Story_9.proto.js;/quest/generated/StoneGnome_2026/story_9/StoneGnome_2026_Story_9.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_PER_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_PER_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Попроси у друзей Плотная ткань;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Отправь личные просьбы друзьям или купи.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Силуэт элемент коллекции (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_9/StoneGnome_2026_Story_9.proto.js;/quest/generated/StoneGnome_2026/story_9/StoneGnome_2026_Story_9.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;BagOfFertilizerCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;BagOfFertilizerCollection1;;;;;;;;;;;;;;;;;;;;;;;
;;;is_silhouette;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Угадай элемент коллекции;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Угадай элемент коллекции и найди его дома или в гостях у друзей;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 10;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_10/StoneGnome_2026_Story_10.proto.js;/quest/generated/StoneGnome_2026/story_10/StoneGnome_2026_Story_10.proto.js;Разбитая мелодия;Домовёнок, тут беда прямо музыкальная! Я нашла зал, где кристаллы звенят, если их коснуться — гномы тут каждый вечер песни играют. Но один кристалл треснул, и теперь вся мелодия поехала — звучит как кот в пустом барабане! Гномы в ужасе, а я хочу услышать настоящую подземную песню. Поможешь починить?;Слушай, как звучит! Чисто, звонко, как настоящая подземная колыбельная! Спасибо, дружок, теперь я могу тут сидеть часами и слушать. Гномы тоже обрадовались — уже танцуют.;StoneGnome_2026_Character_1;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Сбор цветов в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_10/StoneGnome_2026_Story_10.proto.js;/quest/generated/StoneGnome_2026/story_10/StoneGnome_2026_Story_10.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;take_crop_in_guest;;;;;;;;;;;;;;;;;;;;;;;
;;;param;FlowerBlueRose;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Собери Синяя роза в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай Синяя роза в гостях. Чтобы собрать растение, кликни на горшок с нужным растением в гостях у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Сбор цветов дома (зависит от времени роста);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_10/StoneGnome_2026_Story_10.proto.js;/quest/generated/StoneGnome_2026/story_10/StoneGnome_2026_Story_10.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;take_crop;;;;;;;;;;;;;;;;;;;;;;;
;;;param;FlowerDahlia;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;30;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Собери Георгин дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай Георгин дома. Чтобы собрать растение, кликни на горшок с нужным растением;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с цветов дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_10/StoneGnome_2026_Story_10.proto.js;/quest/generated/StoneGnome_2026/story_10/StoneGnome_2026_Story_10.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_7;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_7;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;30;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Получи Звонкая фуксия;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай цветы Фуксия дома, чтобы найти. Чтобы собрать растение, кликни на горшок с нужным растением.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 11;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_11/StoneGnome_2026_Story_11.proto.js;/quest/generated/StoneGnome_2026/story_11/StoneGnome_2026_Story_11.proto.js;Запертый сундук;Случилось непредвиденное, домовёнок! Я тут шатался по пещерам и нашёл старинный сундук — внутри точно припасы для пути домой, всякие нужные штуки. Но замок хрустальный, и без особых щипчиков не открыть. Я своими руками только путаюсь. Поможешь отыскать щипчики и открыть сундук?;Открылся! Там и припасы, и парочка подземных сюрпризов. Спасибо, дружок, теперь путь домой будет гораздо легче. Хотя... может, ещё немного погуляем здесь? Мне уже нравится.;StoneGnome_2026_Character_5;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;HOG на локации;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_11/StoneGnome_2026_Story_11.proto.js;/quest/generated/StoneGnome_2026/story_11/StoneGnome_2026_Story_11.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;clean_debris;;;;;;;;;;;;;;;;;;;;;;;
;;;param;StoneGnome_2026_HOG_3;;;;;;;;;;;;;;;;;;;;;;;
;;;search_action;search_StoneGnome_2026_HOG_3;;;;;;;;;;;;;;;;;;;;;;;
;;;after_buy_actions;"[{""do"":""remove_stuff"",""classname"":""StoneGnome_2026_HOG_3""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Ключики от сундука;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Найди Ключики от сундука. Место поиска: Ледяной сад. Если найти все не удаётся, можно купить подсказку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Получить FA (экшен на площади у друга);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_11/StoneGnome_2026_Story_11.proto.js;/quest/generated/StoneGnome_2026/story_11/StoneGnome_2026_Story_11.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_FA_2;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_FA_2;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;10;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Получи Праздничный гномий хоровод;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Праздничный гномий хоровод можно получить за действие на площади у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с мусора в локации дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_11/StoneGnome_2026_Story_11.proto.js;/quest/generated/StoneGnome_2026/story_11/StoneGnome_2026_Story_11.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;StoneGnome_2026_GR_8;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_GR_8;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;30;;;;;;;;;;;;;;;;;;;;;;;
;;;price;40;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Замороженная реликвия;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор в локации Ледяной сад дома, чтобы найти.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 12;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_12/StoneGnome_2026_Story_12.proto.js;/quest/generated/StoneGnome_2026/story_12/StoneGnome_2026_Story_12.proto.js;Прощальный пир в глубинах;Домовёнок, дружок, друг мой! Мы тут с гномами решили — раз вы помогли нам столько всего наладить и починить, нужно отблагодарить по-настоящему! Будет прощальный пир — со светящимися фонарями, кристальными блюдами и подземными угощениями. Поможешь накрыть стол и зажечь фонари? А то Борька опять бородой всё сбрасывает, а Мирослав путается в салфетках...;Вот это был пир! Стол ломился, фонари горели, гномы пели, и даже Дед Домовед потанцевал! Спасибо тебе, дружок, за всё. Надеемся, ты ещё к нам заглянешь — тоннель теперь всегда открыт!;StoneGnome_2026_Character_1;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Фото предмета;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_12/StoneGnome_2026_Story_12.proto.js;/quest/generated/StoneGnome_2026/story_12/StoneGnome_2026_Story_12.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;post_photo;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_Character_1;;;;;;;;;;;;;;;;;;;;;;;
;;;param;StoneGnome_2026_Character_1;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""StoneGnome_2026_Character_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Сфотографируйся с Шапокляк;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;"Шапокляк - персонаж, с которым нужно сфотографироваться. Найди его у себя на Мир и нажми на иконку ""Сделать фотографию"" в правом верхнем углу. Наведи фокус на Шапокляк, сфотографируйся с ним и нажми ""Славненько"".";;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Сбор цветов дома (зависит от времени роста);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_12/StoneGnome_2026_Story_12.proto.js;/quest/generated/StoneGnome_2026/story_12/StoneGnome_2026_Story_12.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;take_crop;;;;;;;;;;;;;;;;;;;;;;;
;;;param;FlowerCvetikSemicvetik;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;30;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Собери Цветик-семицветик дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай Цветик-семицветик дома. Чтобы собрать растение, кликни на горшок с нужным растением;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Сбор цветов в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_12/StoneGnome_2026_Story_12.proto.js;/quest/generated/StoneGnome_2026/story_12/StoneGnome_2026_Story_12.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;take_crop_in_guest;;;;;;;;;;;;;;;;;;;;;;;
;;;param;FlowerBlueRose;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;40;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Собери Синяя роза в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Собирай Синяя роза в гостях. Чтобы собрать растение, кликни на горшок с нужным растением в гостях у друга;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
